time,Bx,By,Bz,BT
0.008263,-7.95,6.08,23.78,25.79
0.008761,-8.25,6.15,24.3,26.39
0.033622,-9,6.08,24.83,27.1
0.034083,-9.38,6.38,25.35,27.77
0.034251,-10.05,6.38,25.5,28.14
0.042001,-10.65,6.15,26.1,28.85
0.049189,-11.25,6.23,26.48,29.43
0.059297,-12,5.93,26.4,29.6
0.071997,-12.45,6.08,26.18,29.61
0.079217,-13.35,6.08,26.4,30.2
0.089697,-13.65,6.23,26.33,30.3
0.097733,-14.48,5.93,26.25,30.56
0.10744,-15,6.08,26.1,30.71
0.127904,-15.75,5.93,25.88,30.87
0.128347,-16.58,5.85,25.65,31.09
0.137824,-16.95,5.85,25.73,31.36
0.145723,-17.55,5.93,25.8,31.76
0.157145,-18.38,5.85,25.43,31.91
0.165174,-19.05,5.62,25.28,32.15
0.17544,-19.88,5.85,25.05,32.51
0.191991,-19.88,5.85,25.05,32.51
0.195641,-20.48,5.55,24.68,32.54
0.217079,-20.78,5.85,24.23,32.44
0.21771,-21.38,5.93,23.85,32.57
0.22354,-21.98,5.85,23.25,32.52
0.239522,-22.5,5.48,22.5,32.29
0.243021,-22.5,5.33,21.98,31.9
0.257887,-22.8,5.25,21.38,31.69
0.263262,-22.65,5.18,20.7,31.12
0.275121,-22.65,5.03,20.4,30.89
0.283229,-22.95,4.95,20.25,31
0.294705,-22.95,4.95,20.1,30.91
0.30998,-23.1,4.95,20.03,30.97
0.312619,-22.95,5.18,20.1,30.94
0.336894,-23.18,5.25,20.25,31.22
0.337682,-23.25,4.95,20.25,31.23
0.339699,-23.4,4.95,20.18,31.29
0.349116,-23.85,5.18,20.18,31.66
0.359111,-23.55,5.25,20.1,31.4
0.369153,-23.4,5.25,20.18,31.34
0.378651,-23.25,5.33,20.4,31.39
0.388244,-23.25,5.48,20.7,31.61
0.399381,-23.4,5.48,20.78,31.77
0.407822,-23.18,5.78,21.38,32.05
0.416917,-23.25,5.85,21.98,32.52
0.427287,-22.8,5.85,22.43,32.51
0.436956,-22.58,5.62,22.8,32.57
0.446954,-22.2,5.78,23.1,32.55
0.456301,-21.68,5.62,23.25,32.28
0.466328,-21.3,5.62,23.55,32.25
0.476098,-20.4,5.85,24.08,32.09
0.485488,-20.4,5.85,24.08,32.09
0.495356,-20.18,5.93,24.3,32.13
0.509871,-19.28,6.08,24.75,31.95
0.514436,-18.75,6.15,24.98,31.83
0.524105,-18.38,6.23,25.43,31.98
0.532974,-17.78,6.23,25.73,31.88
0.543485,-17.4,6.15,25.95,31.84
0.552739,-16.35,6.23,26.33,31.61
0.562242,-16.05,5.93,26.55,31.58
0.573007,-15.15,5.85,26.7,31.25
0.589953,-14.55,5.78,26.63,30.89
0.591932,-13.65,5.55,26.78,30.56
0.601326,-13.05,5.55,26.55,30.1
0.610126,-12.38,5.55,26.55,29.81
0.62456,-11.55,5.55,26.7,29.62
0.629464,-11.18,5.55,26.48,29.27
0.639512,-10.35,5.62,26.25,28.77
0.64944,-9.98,5.78,26.18,28.6
0.660112,-9.45,5.85,25.65,27.95
0.66837,-9.08,6.15,25.2,27.48
0.678866,-8.55,6.08,24.83,26.95
0.690739,-8.18,5.85,24.38,26.37
0.706314,-7.65,5.78,23.62,25.5
0.708851,-7.5,5.55,22.88,24.7
0.71728,-7.28,5.48,22.35,24.13
0.727931,-6.9,5.25,21.38,23.07
0.736855,-6.45,4.88,21,22.5
0.747209,-6.15,4.43,20.7,22.04
0.757143,-5.85,4.65,20.4,21.73
0.765833,-5.78,4.88,19.95,21.33
0.776659,-5.78,4.88,19.95,21.33
0.785182,-5.78,4.95,19.65,21.07
0.79634,-5.55,4.88,19.43,20.78
0.806097,-5.55,4.88,19.2,20.57
0.814652,-5.55,4.88,18.98,20.36
0.823982,-5.7,4.95,18.75,20.21
0.833942,-5.7,5.18,18.45,19.99
0.843372,-5.85,5.25,18.38,19.99
0.852482,-6.15,4.95,18.3,19.93
0.862235,-6.3,4.95,18.6,20.25
0.873499,-6.38,4.95,18.9,20.55
0.883677,-6.3,5.18,19.05,20.72
0.892246,-6.45,5.18,19.35,21.04
0.901368,-6.45,5.25,19.88,21.54
0.911237,-6.75,5.18,20.4,22.1
0.920957,-6.9,4.95,20.7,22.37
0.930113,-6.9,5.25,21.08,22.79
0.940313,-7.2,5.48,21.68,23.49
0.949969,-7.5,5.55,22.12,24.01
0.959704,-7.88,5.33,22.58,24.49
0.969691,-8.1,5.33,23.25,25.19
0.979242,-8.48,5.55,23.7,25.77
