Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Calculated Total Impact Energy (kt),Total Radiated Energy (J)
2006/2/4 08:38,36.9N,143.6W,38.9,19.8,-8.8,3.4,-17.4,0.3,
2006/1/28 03:33,51.7S,56.4E,37,18.7,8.4,-16.4,3.2,1.8,
2006/1/27 01:27,58.7N,74.7E,20,,,,,0.15,
2006/1/26 00:00,79.8S,111.0W,37,,,,,0.17,
2006/1/10 23:25,29.8N,12.7W,32.4,16.9,-9.9,-6.3,-12.2,0.098,
2006/1/8 05:20,7.6N,28.2W,,,,,,0.29,
2005/12/29 10:05,3.0S,154.9W,42.2,20.7,18.6,8.5,3.2,0.53,
2005/12/24 15:30,54.0S,17.3E,66,,,,,0.51,
2005/12/3 12:45,33.8S,117.4E,32.2,17,-12.1,-9.6,7.2,0.27,
2005/12/1 10:40,6.4S,155.8W,,,,,,0.11,
2005/11/29 07:33,7.6N,58.2W,59.3,,,,,0.11,
2005/11/15 05:19,26.3N,113.4W,32.4,,,,,0.089,
2005/11/11 20:34,21.4N,134.1W,29.6,,,,,0.14,
2005/11/9 07:33,31.0S,145.9E,30.7,13.8,13.5,-2.7,-0.7,0.23,
2005/11/2 07:04,33.9N,154.9W,68.5,,,,,0.11,
2005/11/2 05:16,22.9N,123.8W,74,,,,,0.21,
2005/10/26 21:30,36.3S,80.5W,16.7,,,,,0.4,
2005/9/30 19:04,2.8S,84.1W,53,,,,,0.079,
2005/9/14 01:08,11.6N,27.3E,33.3,,,,,0.089,
2005/9/2 07:59,13.5N,73.1E,,,,,,0.25,
2005/8/20 12:10,,,,,,,,0.095,
2005/8/9 14:35,21.5S,56.2E,37,16.9,-16.3,4.3,1.4,0.089,
2005/7/1 22:36,49.8S,33.1E,50,,,,,0.11,
2005/6/18 19:40,47.9N,85.6E,,,,,,0.082,
2005/6/5 01:56,34.8N,90.9E,,,,,,0.14,
2005/6/3 08:15,31.0S,90.3W,29.6,26.2,-1.5,25.3,6.7,0.25,
2005/5/27 14:12,48.9S,145.1E,50.5,,,,,0.073,
2005/5/14 13:02,,,,,,,,0.38,
2005/5/7 09:31,75.8S,163.7E,15.2,16.6,9.6,-9.7,9.4,0.092,
2005/5/2 20:10,17.7N,36.0E,,,,,,0.15,
2005/4/22 11:18,20.9N,36.7W,37,,,,,0.079,
2005/4/19 07:37,50.2S,146.4W,38.5,16.8,9.3,13.8,2.5,0.64,
2005/4/16 10:40,,,,,,,,0.073,
2005/4/15 06:54,43.8S,73.9W,39,,,,,0.076,
2005/4/14 14:05,4.9N,176.0W,26.5,,,,,0.22,
2005/4/11 05:20,34.2S,95.7W,37,,,,,0.32,
2005/4/6 01:30,42.7S,154.6E,70,,,,,0.1,
2005/4/5 17:48,,,,,,,,0.12,
2005/4/3 01:45,1.0S,112.4E,59.2,,,,,0.61,
2005/4/2 22:52,14.1N,169.7E,27.2,,,,,0.57,
2005/3/31 22:15,42.8N,36.2W,,,,,,0.13,
2005/3/18 16:48,9.7S,34.7W,33,,,,,0.095,
2005/3/12 22:16,,,,,,,,0.079,
2005/3/9 15:47,21.4S,157.9W,44.4,,,,,0.17,
2005/3/9 12:49,14.3N,142.7E,30.7,,,,,0.13,
2005/3/6 17:32,,,,,,,,0.18,
2005/2/17 22:52,48.0N,161.5W,42.5,,,,,0.3,
2005/1/19 01:43,27.5S,164.9W,40.7,,,,,0.41,
2005/1/2 23:09,21.3S,154.7E,35.2,21.5,20.2,-3.3,6.6,0.35,
2005/1/1 03:44,32.7N,12.4E,31.8,,,,,1.2,
2004/12/29 07:11,8.5S,171.8E,,,,,,0.28,
2004/12/13 11:35,9.7S,155.3E,,,,,,0.13,
2004/12/11 15:36,36.0N,104.1E,,,,,,0.1,
2004/11/30 08:32,61.0N,171.0W,,,,,,0.51,
2004/11/17 03:13,,,,,,,,0.52,
2004/10/14 11:41,,,,,,,,0.28,
2004/10/10 11:05,,,,,,,,0.1,
2004/10/7 13:14,27.3S,71.5E,35,19.2,-15.3,1,11.6,18,
2004/10/4 04:39,3.7N,150.9W,,,,,,0.22,
2004/9/28 08:57,0.2N,101.1W,,,,,,0.2,
2004/9/3 12:07,67.7S,18.2E,31.5,,,,,13,
2004/8/22 10:01,51.9S,22.7E,37,,,,,3.2,
2004/7/29 12:41,,,,,,,,0.089,
2004/7/25 05:29,,,,,,,,0.55,
2004/7/22 03:34,,,,,,,,0.12,
2004/7/16 00:11,,,,,,,,0.1,
2004/7/4 16:58,,,,,,,,0.25,
2004/7/3 20:47,,,,,,,,0.21,
2004/6/12 07:13,21.7N,175.3E,,,,,,0.31,
2004/6/11 15:41,,,,,,,,0.31,
2004/6/5 20:34,1.3N,174.4W,43,19.5,9.4,17,-1.5,3.9,
2004/6/4 13:41,,,,,,,,0.89,
2004/6/3 21:59,,,,,,,,0.16,
2004/6/3 09:40,48.9N,120.4W,,,,,,0.18,
2004/5/18 11:12,28.1S,47.4W,,,,,,1,
2004/5/17 02:08,18.9S,28.3E,44,,,,,0.18,
2004/5/6 02:22,,,,,,,,0.16,
2004/4/23 00:33,,,,,,,,0.18,
2004/4/22 21:19,15.2S,55.1E,,,,,,0.41,
2004/4/22 04:21,44.3S,83.3E,29.6,16.3,8.5,-12.1,-6.8,1.5,
2004/4/6 03:24,12.0S,162.8E,35,25.6,10.5,-23.2,-2.9,1.1,
2004/3/26 16:35,7.6S,155.1E,46,,,,,0.086,
2004/3/25 09:39,4.8S,21.0E,,,,,,0.076,
2004/2/27 01:18,,,,,,,,0.19,
2004/2/2 18:52,18.3S,52.3E,,,,,,0.1,
2004/1/22 01:06,50.6S,157.8E,37,,,,,0.64,
2004/1/17 20:11,,,,,,,,0.098,
2004/1/16 11:17,,,,,,,,0.3,
2004/1/2 04:27,28.2S,3.2E,63,,,,,0.39,
2003/12/9 22:36,67.1S,90.8W,,,,,,1.6,
2003/11/26 02:00,22.9S,22.7E,32,,,,,0.12,
2003/11/10 13:54,64.5S,136.2E,23,20.1,14.8,-8.7,10.4,1.3,
2003/11/1 14:09,51.4S,151.7E,,,,,,0.23,
2003/10/16 00:47,,,,,,,,0.77,
2003/10/13 14:06,,,,,,,,0.1,
2003/10/7 00:23,,,,,,,,0.13,
2003/9/27 12:59,21.0N,86.6E,26,18.2,-1,-5.4,-17.3,4.6,
2003/9/22 03:45,,,,,,,,0.11,
2003/9/21 07:40,,,,,,,,0.073,
2003/9/20 19:04,,,,,,,,0.1,
2003/9/2 20:00,51.3N,161.0W,,,,,,1,
2003/8/26 22:08,,,,,,,,0.23,
2003/8/26 08:44,,,,,,,,0.68,
2003/8/17 13:16,39.0S,34.0E,,,,,,1.6,
2003/8/1 04:09,,,,,,,,0.076,
2003/7/21 05:11,,,,,,,,0.19,
2003/6/22 22:53,,,,,,,,0.076,
2003/6/21 14:49,,,,,,,,0.13,
2003/6/16 17:17,,,,,,,,0.21,
2003/6/10 14:11,41.8S,122.9E,,,,,,0.11,
2003/5/27 23:32,5.2N,166.2E,,,,,,0.22,
2003/5/19 03:38,,,,,,,,1.3,
2003/5/18 07:51,,,,,,,,0.076,
2003/5/15 06:28,54.0N,80.4W,,,,,,0.14,
2003/4/28 13:06,,,,,,,,0.082,
2003/4/13 17:58,14.8N,64.5E,17,,,,,0.5,
2003/4/7 09:25,18.4S,162.6E,,,,,,0.079,
2003/4/1 04:40,,,,,,,,0.11,
2003/3/27 05:50,41.4N,87.7W,45,,,,,0.41,
2003/2/25 23:13,40.0N,116.0E,,,,,,0.11,
2003/2/12 23:45,,,,,,,,0.25,
2003/2/12 02:37,31.5S,107.5E,,,,,,0.36,
2003/2/6 17:00,62.9S,113.9W,,,,,,0.55,
2003/2/5 06:16,,,,,,,,0.31,
2003/2/4 14:07,59.9S,41.0E,,,,,,0.4,
2003/1/30 06:02,,,,,,,,0.32,
2002/11/28 15:41,,,,,,,,0.15,
2002/11/21 00:11,1.4S,154.0W,,,,,,0.66,
2002/11/12 21:49,21.1S,6.8W,,,,,,0.14,
2002/11/10 22:13,16.0N,166.0W,,,,,,1.2,
2002/10/9 12:00,4.3S,175.9W,,,,,,0.16,
2002/10/4 10:08,,,,,,,,0.35,
2002/9/24 16:48,57.9N,112.9E,,,,,,2,
2002/8/14 07:48,6.9S,126.2W,,,,,,0.28,
2002/8/11 20:42,18.2S,159.4E,,,,,,3.3,
2002/8/10 18:01,,,,,,,,0.089,
2002/7/25 15:57,28.7S,47.0E,,,,,,0.63,
2002/7/22 11:16,34.0N,106.1E,,,,,,0.17,
2002/6/29 16:31,,,,,,,,0.46,
2002/6/15 11:51,,,,,,,,0.1,
2002/6/13 15:29,24.9S,111.4E,,,,,,0.54,
2002/6/2 04:28,34.0N,21.0E,,,,,,8.8,
2002/4/3 19:10,5.3S,27.1E,,,,,,0.51,
2002/4/2 02:36,,,,,,,,0.11,
2002/3/28 21:29,,,,,,,,0.095,
2002/3/19 05:56,,,,,,,,0.26,
2002/3/19 02:56,,,,,,,,0.17,
2002/3/18 14:44,60.4S,120.5W,,,,,,0.073,
2002/3/9 01:20,6.9N,147.3W,,,,,,0.68,
2002/3/3 21:10,37.5N,154.0E,,,,,,0.25,
2002/3/1 03:53,29.2N,66.8W,,,,,,0.13,
2002/2/9 19:50,17.7S,138.7E,,,,,,0.22,
2002/2/1 19:07,60.7N,116.6E,,,,,,0.22,
2002/1/20 16:42,48.4N,165.0W,,,,,,0.31,
2002/1/3 12:19,,,,,,,,0.36,
2001/12/14 17:58,,,,,,,,0.44,
2001/12/12 16:56,,,,,,,,0.3,
2001/11/26 06:51,,,,,,,,0.54,
2001/11/13 10:58,,,,,,,,0.83,
2001/11/11 12:14,,,,,,,,0.38,
2001/10/27 19:20,52.7N,3.8E,,,,,,0.12,
2001/10/14 12:03,,,,,,,,0.27,
2001/10/12 03:11,,,,,,,,0.2,
2001/10/6 06:29,,,,,,,,0.45,
2001/9/25 11:54,,,,,,,,0.14,
2001/8/26 16:08,,,,,,,,0.13,
2001/8/18 13:57,,,,,,,,0.13,
2001/7/26 21:20,0.4N,84.8E,,,,,,0.86,
2001/7/23 22:19,41.0N,77.0W,,,,,,2.8,
2001/5/6 04:30,,,,,,,,0.16,
2001/4/27 09:46,,,,,,,,0.38,
2001/4/23 06:12,28.0N,133.6W,29,,,,,9,
2001/4/14 06:40,,,,,,,,0.086,
2001/4/13 00:29,15.3S,162.4E,,,,,,0.68,
2001/2/9 21:27,,,,,,,,0.32,
2001/2/4 05:53,64.0S,97.3E,,,,,,0.44,
2001/1/28 16:19,66.0N,31.3E,,,,,,0.32,
2000/12/15 13:22,41.3N,95.2E,,,,,,0.71,
2000/12/15 03:46,50.4N,58.9E,,,,,,0.095,
2000/11/28 12:20,,,,,,,,0.35,
2000/11/13 00:28,13.6S,5.8W,,,,,,0.21,
2000/11/6 07:18,52.0S,22.2W,,,,,,0.22,
2000/10/11 23:29,31.7S,5.5W,,,,,,0.25,
2000/9/24 06:57,,,,,,,,0.095,
2000/9/23 04:00,58.5S,142.6E,,,,,,0.079,
2000/9/19 22:12,3.2S,133.8W,,,,,,0.27,
2000/8/25 01:12,14.5N,106.1W,,,,,,3.1,
2000/8/13 03:00,36.7N,127.8W,,,,,,0.21,
2000/8/1 16:48,50.2S,101.9W,,,,,,0.51,
2000/7/31 07:06,15.7N,138.5W,,,,,,0.13,
2000/7/19 17:40,17.7S,94.1E,,,,,,0.32,
2000/7/9 01:08,,,,,,,,0.36,
2000/7/7 01:34,15.0N,140.7E,,,,,,0.21,
2000/6/27 10:06,34.9N,36.8E,,,,,,0.095,
2000/6/23 09:03,69.2N,44.0W,,,,,,0.073,
2000/6/22 20:02,32.9N,159.0E,,,,,,0.1,
2000/6/18 13:40,,,,,,,,0.39,
2000/6/14 16:39,28.1N,107.3E,48,,,,,0.42,
2000/6/4 03:17,,,,,,,,0.53,
2000/6/3 03:24,36.8N,74.8W,,,,,,0.1,
2000/6/2 18:44,27.5S,18.9W,,,,,,0.1,
2000/5/29 16:46,,,,,,,,0.19,
2000/5/6 11:51,49.9N,18.4E,,,,,,0.098,
2000/5/3 10:40,5.0S,73.0E,,,,,,0.19,
2000/4/21 13:42,,,,,,,,0.27,
2000/4/4 13:38,,,,,,,,0.082,
2000/3/28 15:27,1.0N,98.3E,,,,,,0.2,
2000/3/19 05:11,,,,,,,,0.16,
2000/3/6 08:29,58.0N,175.0E,,,,,,2.2,
2000/2/18 09:25,0.9S,109.2E,,,,,,7.3,
2000/2/17 14:22,14.2N,115.9E,,,,,,0.079,
2000/1/18 16:43,60.3N,134.6W,,,,,,2.4,
2000/1/18 08:33,24.3N,94.9W,,,,,,0.12,
1999/12/16 00:07,26.5S,11.3W,,,,,,0.21,
1999/12/11 17:31,,,,,,,,0.74,
1999/12/10 18:56,,,,,,,,0.098,
1999/12/3 17:24,,,,,,,,0.14,
1999/12/1 19:38,,,,,,,,0.082,
1999/11/30 02:18,,,,,,,,0.15,
1999/11/15 20:01,8.1S,75.4E,,,,,,0.23,
1999/11/7 17:53,2.3S,77.4W,,,,,,0.27,
1999/10/26 17:19,13.7N,70.8W,,,,,,0.27,
1999/9/8 23:55,22.4N,0.2E,,,,,,0.098,
1999/9/8 14:41,32.5N,104.6E,32,,,,,0.28,
1999/8/16 05:18,35.0N,107.2W,,,,,,0.12,
1999/8/6 03:22,,,,,,,,0.22,
1999/8/3 18:25,64.7S,18.8W,,,,,,0.93,
1999/7/10 08:11,37.8S,39.6E,52,,,,,0.86,
1999/7/7 04:14,39.5S,174.4E,,,,,,0.41,
1999/6/25 06:27,50.0N,121.0E,69,,,,,0.37,
1999/5/23 07:02,16.4S,116.3W,,,,,,0.092,
1999/4/26 11:33,22.5S,6.5E,,,,,,0.28,
1999/4/26 09:49,32.8S,159.1E,,,,,,0.11,
1999/3/31 23:54,17.9S,22.6E,,,,,,0.64,
1999/3/28 15:37,0.8N,97.6E,,,,,,0.81,
1999/3/2 22:23,18.9N,50.5E,,,,,,0.19,
1999/2/18 23:15,54.9S,64.6W,,,,,,0.44,
1999/2/1 14:24,80.0N,154.2E,,,,,,0.098,
1999/1/19 02:32,7.9N,85.8E,,,,,,0.086,
1999/1/14 08:06,44.0S,129.7W,32,,,,,9.8,
1999/1/12 19:24,,,,,,,,0.14,
1999/1/11 05:18,,,,,,,,0.086,
1999/1/2 18:25,47.0N,103.0E,65,,,,,0.12,
1998/12/22 09:24,,,,,,,,0.095,
1998/11/23 20:20,82.3N,160.1E,,,,,,0.089,
1998/11/11 16:46,6.5N,156.4E,,,,,,1.6,
1998/10/3 12:58,,,,,,,,0.11,
1998/9/4 09:16,,,,,,,,0.38,
1998/9/1 11:15,34.6N,23.6E,,,,,,0.086,
1998/8/30 00:20,,,,,,,,0.14,
1998/8/8 12:55,,,,,,,,0.082,
1998/7/28 14:16,,,,,,,,0.2,
1998/3/24 09:08,,,,,,,,0.095,
1998/3/22 22:25,1.4N,26.6E,,,,,,0.41,
1998/1/8 16:10,,,,,,,,0.2,
1998/1/4 23:00,35.1S,33.4E,30,17.1,6,-10.6,12,0.23,
1997/12/28 03:58,23.1S,152.4E,,,,,,0.11,
1997/12/9 08:15,62.7N,49.9W,,,,,,0.73,
1997/11/7 07:46,57.3S,167.2E,,,,,,1.9,
1997/10/9 18:47,31.8N,106.0W,37,,,,,0.53,
1997/10/1 14:26,46.7N,108.9E,,,,,,0.2,
1997/9/30 12:31,38.1S,63.9E,,,,,,0.082,
1997/9/5 11:41,31.1S,56.4E,,,,,,0.53,
1997/8/20 17:16,,,,,,,,0.092,
1997/8/15 01:05,,,,,,,,0.079,
1997/7/30 03:01,,,,,,,,0.16,
1997/7/4 12:22,15.8S,175.8W,,,,,,0.095,
1997/5/22 08:30,,,,,,,,0.15,
1997/4/27 22:34,16.7N,87.5E,,,,,,0.86,
1997/2/19 04:31,16.3S,87.7W,,,,,,0.41,
1997/2/15 15:23,35.5N,115.6E,,,,,,0.43,
1997/2/6 18:28,,,,,,,,0.092,
1997/1/28 17:49,,,,,,,,0.086,
1997/1/23 10:03,15.0S,94.2E,,,,,,0.73,
1997/1/22 21:13,32.2N,29.0E,,,,,,1.2,
1997/1/4 06:46,25.7N,5.3W,,,,,,0.14,
1997/1/3 15:08,,,,,,,,0.92,
1996/12/17 04:16,34.1N,37.2W,,,,,,0.14,
1996/12/10 06:09,,,,,,,,0.68,
1996/12/4 17:00,,,,,,,,0.16,
1996/12/1 13:19,,,,,,,,0.2,
1996/11/22 10:06,,,,,,,,0.22,
1996/11/8 16:02,,,,,,,,0.2,
1996/10/30 12:48,2.1S,123.1W,,,,,,0.076,
1996/10/28 04:46,27.4N,79.4W,,,,,,0.14,
1996/10/23 08:28,47.3S,20.6E,,,,,,0.15,
1996/10/19 19:01,29.7N,34.7W,,,,,,0.38,
1996/10/7 17:43,,,,,,,,0.15,
1996/10/5 19:21,49.6S,145.9E,,,,,,0.68,
1996/8/17 15:46,,,,,,,,0.12,
1996/8/15 16:07,,,,,,,,0.26,
1996/8/9 18:14,,,,,,,,0.1,
1996/8/7 03:16,,,,,,,,0.43,
1996/8/6 04:50,,,,,,,,0.38,
1996/8/5 19:27,,,,,,,,0.61,
1996/8/5 15:19,,,,,,,,0.25,
1996/7/17 03:16,31.8N,111.4E,,,,,,0.16,
1996/7/12 14:04,20.7N,93.6W,,,,,,0.11,
1996/6/25 11:22,,,,,,,,0.076,
1996/5/8 01:02,,,,,,,,0.098,
1996/5/1 13:19,,,,,,,,0.12,
1996/3/31 00:53,,,,,,,,0.095,
1996/3/30 04:03,31.1S,84.3W,,,,,,0.36,
1996/3/29 20:30,21.5N,158.1W,,,,,,0.38,
1996/3/25 17:00,,,,,,,,0.15,
1996/3/13 08:31,,,,,,,,0.63,
1996/2/16 07:03,,,,,,,,0.18,
1996/2/15 02:38,76.0N,127.0W,,,,,,0.16,
1996/1/18 17:10,,,,,,,,0.36,
1996/1/15 13:44,59.8S,175.8E,,,,,,0.71,
1995/12/27 12:55,,,,,,,,0.079,
1995/12/22 13:26,70.2S,73.3W,,,,,,1.1,
1995/12/9 19:54,2.9S,79.0W,,,,,,0.36,
1995/11/25 05:29,,,,,,,,0.1,
1995/11/13 03:10,,,,,,,,0.076,
1995/10/1 02:42,,,,,,,,0.12,
1995/9/9 07:38,,,,,,,,1.3,
1995/8/24 21:54,,,,,,,,0.36,
1995/8/17 16:39,,,,,,,,0.46,
1995/8/6 04:38,,,,,,,,0.18,
1995/8/5 17:14,11.6N,104.3W,,,,,,0.56,
1995/7/11 18:38,28.5S,93.3E,,,,,,0.38,
1995/7/9 18:20,0.9S,66.3E,,,,,,0.089,
1995/7/7 17:33,40.2N,76.1W,,,,,,0.41,
1995/6/9 09:28,,,,,,,,0.089,
1995/4/2 12:32,,,,,,,,0.089,
1995/2/16 13:05,16.7N,141.7W,,,,,,0.19,
1995/1/18 10:17,51.5N,115.4E,,,,,,0.22,
1995/1/10 21:08,,,,,,,,0.089,
1995/1/2 20:41,,,,,,,,0.1,
1994/12/18 12:45,,,,,,,,0.16,
1994/12/16 09:41,42.2S,27.6E,,,,,,0.16,
1994/11/3 20:01,6.5N,89.0E,,,,,,5,
1994/11/1 06:50,1.5S,84.5W,,,,,,2.3,
1994/10/27 04:21,,,,,,,,0.85,
1994/10/20 00:11,45.2S,1.9W,,,,,,0.27,
1994/10/8 03:24,,,,,,,,0.21,
1994/9/22 04:22,,,,,,,,0.21,
1994/8/15 23:16,,,,,,,,0.47,
1994/6/15 00:02,45.0N,73.5W,,,,,,0.14,
1994/6/3 20:48,,,,,,,,1.3,
1994/5/29 09:30,52.8N,2.3E,,,,,,1,
1994/2/1 22:38,2.7N,164.1E,,,,,,30,
1993/11/29 17:48,26.5N,78.3E,,,,,,0.092,
1993/10/31 03:39,51.3N,100.9W,,,,,,0.13,
1991/10/4 09:22,78.7N,6.3E,,,,,,1.4,
1990/10/1 03:51,7.5N,142.8E,,,,,,5.2,
1988/4/15 03:03,4.1S,124.3E,,,,,,14,
